"","...1","County","STATEFP","COUNTYFP","Longitude","Latitude","HighGrad","Severe_Housing_Issues","Child_Mortality","WhiteBlackSeg","WhiteNonWhiteSeg","ChildPoverty","HealthyFoods","SOLPassRate","SOLAdvPassRate","TotalScore","0","TotalScoreRank"
"89",89,"Page","51","139",38.6301,-78.5207,1,-0.13,-0.00926354794,-0.666666666666667,-0.548387096774194,-0.19,-0.01,0.62245885762807,0.258752565267047,0.0363215679460286,0,"4"
"90",90,"Patrick","51","141",36.6886,-80.3213,0.93,-0.13,0,-0.246913580246914,-0.338709677419355,-0.23,-0.05,0.836265313443273,0.452847545539333,0.152936200164542,1,"6"
"91",91,"Petersburg City","51","730",37.2279,-77.4019,0.83,-0.25,-0.02387909636,-0.395061728395062,-0.516129032258065,-0.39,-0.21,0,0,-0.106118873001458,0,"1"
"92",92,"Pittsylvania","51","143",36.744,-79.4704,0.91,-0.12,-0.01037680784,-0.320987654320988,-0.403225806451613,-0.22,-0.06,0.832526621439111,0.473001264391012,0.120104179690836,0,"6"
"93",93,"Poquoson City","51","735",37.1224,-76.3458,0.96,-0.09,0,-0.45679012345679,-0.338709677419355,-0.05,-0.05,0.95643756042257,0.568310428399137,0.187406023493195,1,"7"
"94",94,"Portsmouth City","51","740",36.8354,-76.2983,0.86,-0.21,-0.01615763134,-0.666666666666667,-0.82258064516129,-0.29,-0.04,0.542497579790319,0.267889641945389,-0.0416686357146943,0,"3"
"95",95,"Powhatan","51","145",37.5643,-77.8825,0.94,-0.13,-0.00699937006,-0.358024691358025,-0.290322580645161,-0.08,-0.02,0.782187802383906,0.368633791529942,0.13394166131674,0,"6"
"96",96,"Prince Edward","51","147",37.1983,-78.4297,0.89,-0.13,0,-0.148148148148148,-0.17741935483871,-0.28,-0.12,0.263310745305968,0.148871338871823,0.0558268226488666,1,"4"
"97",97,"Prince George","51","149",37.1593,-77.2405,0.91,-0.13,-0.0079168206,-0.234567901234568,-0.274193548387097,-0.11,-0.1,0.763794772334079,0.307194826186731,0.124923480922127,0,"6"
"98",98,"Prince William","51","153",38.7839,-77.6078,0.92,-0.16,-0.00770663976,-0.419753086419753,-0.435483870967742,-0.09,-0.03,0.76520001237291,0.500392167864253,0.115849842565519,0,"6"
"99",99,"Pulaski","51","155",37.0479,-80.7798,0.95,-0.09,-0.00701057428,-0.197530864197531,-0.17741935483871,-0.21,-0.06,0.656340755016948,0.300105714953665,0.129387297406041,0,"6"
"100",100,"Radford City","51","750",37.1318,-80.5764,0.97,-0.25,0,-0.160493827160494,-0.241935483870968,-0.18,-0.07,0.783335126101323,0.547743253478737,0.174831133568575,1,"7"
"101",101,"Rappahannock","51","157",38.6762,-78.1564,0.95,-0.16,0,-0.419753086419753,-0.548387096774194,-0.14,-0.21,0.861501485487822,0.358163092646291,0.0864405493675208,1,"5"
"102",102,"Richmond","51","159",37.9176,-76.7106,0.95,-0.17,0,-0.148148148148148,-0.225806451612903,-0.23,-0.02,0.689971675368052,0.224269726967679,0.133785850321835,1,"6"
"103",103,"Richmond City","51","760",37.5407,-77.436,0.75,-0.24,-0.3514305024,-0.679012345679012,-0.838709677419355,-0.35,-0.08,0.15139118742702,0.223993051238512,-0.157085365203648,0,"1"
"104",104,"Roanoke","51","161",37.2467,-80.1205,0.95,-0.11,-0.00642434828,-0.407407407407407,-0.370967741935484,-0.08,-0.03,0.871377863688006,0.519316792040023,0.148432795345015,0,"6"
"105",105,"Roanoke City","51","770",37.271,-79.9414,0.9,-0.19,-0.01325026982,-0.716049382716049,-0.806451612903226,-0.32,-0.08,0.594901580994765,0.410144476867353,-0.0245228008419064,0,"3"
"106",106,"Rockbridge","51","163",37.8062,-79.5154,0.91,-0.12,0,-0.444444444444444,-0.387096774193548,-0.17,-0.05,0.695191997265842,0.45535725396833,0.111126004074522,1,"5"
"107",107,"Rockingham","51","165",38.5826,-78.8836,0.94,-0.12,-0.00931473742,-0.62962962962963,-0.548387096774194,-0.09,-0.06,0.735320626078244,0.407216483975877,0.0694672940255887,0,"5"
"108",108,"Russell","51","167",36.9904,-82.0843,0.9,-0.13,-0.00948628138,-0.851851851851852,-0.774193548387097,-0.22,-0.02,0.836542253772433,0.341896464001091,0.00810078179495281,0,"4"
"109",109,"Salem City","51","775",37.2935,-80.0548,0.97,-0.15,-0.010188487,-0.592592592592593,-0.645161290322581,-0.12,-0.12,0.789531661900448,0.443721333160476,0.0628122916828612,0,"5"
"110",110,"Scott","51","169",36.6816,-82.6051,0.95,-0.11,0,0,-0.887096774193548,-0.25,-0.04,0.93901258470002,0.437161868106218,0.148439668373241,2,"6"
"111",111,"Shenandoah","51","171",38.4851,-78.625,0.97,-0.12,0,-0.481481481481481,-0.467741935483871,-0.15,-0.03,0.506292352178609,0.213854859798484,0.0551154743764676,1,"4"
"112",112,"Smyth","51","173",36.8688,-81.5596,0.95,-0.11,-0.01030297176,-0.641975308641975,-0.532258064516129,-0.25,-0.06,0.722235203657094,0.31025047757459,0.0419943707015089,0,"4"
"113",113,"Southampton","51","175",36.6789,-77.1025,0.87,-0.12,-0.01337867216,-0.135802469135802,-0.161290322580645,-0.2,-0.14,0.804453049200732,0.333188234702959,0.13746331333636,0,"6"
"114",114,"Spotsylvania","51","177",38.2042,-77.6078,0.91,-0.13,-0.00882719996,-0.222222222222222,-0.306451612903226,-0.1,-0.04,0.69880606650136,0.396911468967636,0.133135166709283,0,"6"
"115",115,"Stafford","51","179",38.4335,-77.4243,0.95,-0.11,-0.00847151626,-0.283950617283951,-0.403225806451613,-0.07,-0.03,0.797551759635822,0.499324989957229,0.14902542328861,0,"6"
"116",116,"Staunton City","51","790",38.1496,-79.0717,0.9,-0.17,-0.00981514804,-0.197530864197531,-0.306451612903226,-0.19,-0.02,0.551790900139538,0.322554567687946,0.0978386491874142,0,"5"
"117",117,"Suffolk City","51","800",36.7282,-76.5836,0.87,-0.16,-0.00964558098,-0.530864197530864,-0.67741935483871,-0.16,-0.06,0.640980961443638,0.271197893920318,0.0204721913349314,0,"4"
"118",118,"Surry","51","181",37.1186,-76.8721,0.94,-0.09,0,-0.0123456790123457,-0.0161290322580645,-0.2,-0.1,0.675701839122997,0.171320191407609,0.171068414907525,1,"7"
"119",119,"Sussex","51","183",36.9058,-77.2405,0.89,-0.13,0,-0.222222222222222,-0.274193548387097,-0.3,-0.18,0.645692158772173,0.235122193828509,0.0830498227489204,1,"5"
"120",120,"Tazewell","51","185",37.1247,-81.5596,0.89,-0.1,-0.00903041826,-0.654320987654321,-0.435483870967742,-0.24,-0.08,0.902226524600366,0.440706423888164,0.0793441857340519,0,"5"
"121",121,"Virginia Beach City","51","810",36.8529,-75.978,0.93,-0.16,-0.00781987626,-0.444444444444444,-0.548387096774194,-0.1,-0.03,0.843019079871676,0.515332660878364,0.1108555914746,0,"5"
"122",122,"Warren","51","187",38.9332,-78.2476,0.94,-0.12,-0.01216760882,-0.469135802469136,-0.467741935483871,-0.14,-0.03,0.582768635088694,0.29419812209403,0.0642134900455242,0,"5"
"123",123,"Washington","51","191",36.7678,-81.9535,0.94,-0.1,-0.00661691726,-0.728395061728395,-0.435483870967742,-0.21,-0.03,0.891983886613126,0.561221317166071,0.098078817091451,0,"5"
"124",124,"Waynesboro City","51","820",38.0685,-78.8895,0.83,-0.15,-0.01094590896,-0.333333333333333,-0.338709677419355,-0.25,-0.04,0.413359148144307,0.198495118628094,0.0354294830066347,0,"4"
"125",125,"Westmoreland","51","193",38.1127,-76.7798,0.92,-0.14,0,-0.308641975308642,-0.338709677419355,-0.27,-0.02,0.573088092900142,0.204402711156903,0.0775173939161311,1,"5"
"126",126,"Williamsburg City","51","830",37.2707,-76.7075,0.92,-0.22,0,-0.271604938271605,-0.370967741935484,-0.28,-0.04,0.802797988987632,0.60497561763973,0.143150115802534,1,"6"
"127",127,"Winchester City","51","840",39.1857,-78.1633,0.89,-0.2,-0.01079563856,-0.37037037037037,-0.338709677419355,-0.22,-0.03,0.536302032800488,0.313102419046366,0.0632809739441254,0,"5"
"128",128,"Wise","51","195",37.0241,-82.6051,0.96,-0.13,-0.01229980782,-0.716049382716049,-0.467741935483871,-0.33,-0.04,0.954501452039071,0.498600833449429,0.0796679066076199,0,"5"
"129",129,"Wythe","51","197",36.9484,-81.0848,0.94,-0.12,0,-0.592592592592593,-0.693548387096774,-0.24,-0.02,0.906815818656869,0.535490468398659,0.0895206634207701,1,"5"
"130",130,"York","51","199",37.2104,-76.3869,0.97,-0.11,-0.00503055322,-0.345679012345679,-0.435483870967742,-0.07,-0.04,0.971668279959084,0.581070829015647,0.168505074715701,0,"7"
