"","County","Child_Mortality","CMBIN","Severe_Housing_Issues","SHBIN","CountyPOP","WhiteBlackSeg","WhiteBlackBin","WhiteNonWhiteSeg","WhiteNonWhiteBin","Limited Access to Healthy Foods","Children in Poverty","High School Graduation","ChildPovertyRank","GradRank","FoodRank","SOL PassRate","SOL AdvPassRate","PassRank","AdvPassRank"
"68","Loudoun","0.30897614699999998","Low",0.11,"Low",385143,"25","Moderate","30","Moderate","0.01",0.04,0.96,"Very Low","Very High","Very Low",85.1935483870968,24.6774193548387,"Very High","High"
"69","Louisa","0.31091011899999998","Low",0.12,"Low",35380,"24","Moderate","19","Low","0.01",0.15,0.94,"Low","High","Very Low",82.4642857142857,18.6785714285714,"High","Moderate"
"70","Lunenburg","NA","NA",0.14,"Moderate",12278,"6","Very Low","12","Low","0",0.25,0.8,"High","Very Low","Very Low",74.8214285714286,11.6428571428571,"Moderate","Low"
"71","Lynchburg City","0.48670302399999998","Low",0.18,"High",80131,"44","Very High","39","High","0.09",0.25,0.86,"High","Moderate","Very Low",71.6333333333333,15.8,"Moderate","Low"
"72","Madison","NA","NA",0.17,"High",13139,"6","Very Low","4","Very Low","0.01",0.16,0.96,"Low","Very High","Very Low",74.4642857142857,13.25,"Moderate","Low"
"73","Manassas City","0.43418481799999997","Low",0.19,"High",41457,"15","Low","16","Low","0.01",0.15,0.78,"Low","Very Low","Very Low",71.1034482758621,11.2068965517241,"Moderate","Low"
"74","Manassas Park City","NA","NA",0.19,"High",16423,"19","Low","9","Very Low","0.11",0.12,0.89,"Low","Moderate","Low",73.8571428571429,12.9285714285714,"Moderate","Low"
"75","Martinsville City","0.76330051099999996","High",0.15,"Moderate",13101,"33","High","33","High","0.1",0.34,0.87,"Very High","Moderate","Very Low",70.8518518518518,10.3333333333333,"Moderate","Very Low"
"76","Mathews","NA","NA",0.1,"Very Low",8796,"31","High","11","Low","0",0.17,0.94,"Low","High","Very Low",78.0344827586207,13,"High","Low"
"77","Mecklenburg","0.94012383700000002","Very High",0.14,"Moderate",30847,"18","Low","18","Low","0.04",0.3,0.89,"High","Moderate","Very Low",78.8275862068966,16.7586206896552,"High","Low"
"78","Middlesex","NA","NA",0.14,"Moderate",10700,"23","Moderate","12","Low","0",0.23,0.94,"Moderate","High","Very Low",76.4642857142857,15.5357142857143,"High","Low"
"79","Montgomery","0.28572303199999999","Low",0.19,"High",97997,"29","Moderate","32","High","0.04",0.15,0.95,"Low","High","Very Low",81.0714285714286,19.7857142857143,"High","Moderate"
"80","Nelson","NA","NA",0.14,"Moderate",14812,"25","Moderate","18","Low","0.03",0.2,0.92,"Moderate","High","Very Low",76.4137931034483,14.3448275862069,"High","Low"
"81","New Kent","NA","NA",0.13,"Low",21103,"9","Very Low","3","Very Low","0",0.07,0.94,"Very Low","High","Very Low",82.1034482758621,16.9310344827586,"High","Low"
"82","Newport News City","0.57176163599999996","Moderate",0.18,"High",180145,"42","Very High","37","High","0.06",0.22,0.93,"Moderate","High","Very Low",71.6666666666667,14.7666666666667,"Moderate","Low"
"83","Norfolk City","0.72477930899999998","Moderate",0.23,"Very High",245592,"53","Very High","46","Very High","0.08",0.28,0.82,"High","Low","Very Low",71.3225806451613,14.6774193548387,"Moderate","Low"
"84","Northampton","0.83633018299999995","High",0.15,"Moderate",11957,"5","Very Low","6","Very Low","0",0.3,0.91,"High","High","Very Low",70.1071428571429,10.2857142857143,"Moderate","Very Low"
"85","Northumberland","NA","NA",0.15,"Moderate",12223,"10","Very Low","9","Very Low","0.01",0.27,0.95,"High","High","Very Low",77.9285714285714,12.7142857142857,"High","Low"
"86","Norton City","NA","NA",0.23,"Very High",3990,"NA","NA","NA","NA","0.02",0.31,0.95,"High","High","Very Low",83.1428571428571,12,"Very High","Low"
"87","Nottoway","0.64516129","Moderate",0.17,"High",15500,"18","Low","17","Low","0.3",0.28,0.91,"High","High","Moderate",73.5,10.9642857142857,"Moderate","Very Low"
"88","Orange","0.33696506799999998","Low",0.13,"Low",35612,"14","Low","6","Very Low","0.08",0.13,0.93,"Low","High","Very Low",80.1724137931034,15.7241379310345,"High","Low"
"89","Page","0.46317739699999999","Low",0.13,"Low",23749,"54","Very High","34","High","0.01",0.19,1,"Moderate","Very High","Very Low",76.25,12.8571428571429,"High","Low"
"90","Patrick","NA","NA",0.13,"Low",17859,"20","Low","21","Moderate","0.05",0.23,0.93,"Moderate","High","Very Low",84.1379310344828,18.7241379310345,"Very High","Moderate"
